section,n_glyphs,status,connective,n_slots,period,Pi_robust,slot_cv,z_A,p_A,z_B,p_B,Pi_aug,p_B_aug,result
Ab:w00,104,evaluable,001,9,14.25,0.4813,0.5345,0.45,0.2937,0.7,0.2318,0.4813,0.6254,null
Ab:w01,104,evaluable,001,6,14.5,0.5554,0.3611,-0.3,0.5934,-0.04,0.5055,0.4125,0.8112,null
Ab:w02,104,evaluable,001,7,11.6,0.4916,0.6234,0.13,0.4266,0.41,0.3107,0.5069,0.5944,null
Ab:w03,104,evaluable,001,6,12.15,0.4881,0.8936,-0.3,0.5844,-0.26,0.5684,0.4881,0.5514,null
Ab:w04,104,evaluable,003a,26,14.5,0.1356,0.8379,-1.41,0.9391,-1.3,0.9121,0.1356,0.9041,null
Ab:w05,104,evaluable,004,7,14.5,0.5116,1.7171,0.04,0.4575,-0.85,0.7632,0.6032,0.7602,null
Ab:w06,104,evaluable,004,7,14.5,0.5116,1.7171,-0.49,0.6713,-1.24,0.8701,0.5116,0.9151,null
Ab:w07,104,evaluable,003a,7,14.5,0.654,1.3328,0.61,0.2547,0.7,0.2328,0.6154,0.1888,null
Ab:w08,104,evaluable,003a,21,13.65,0.2587,1.145,-0.14,0.5075,-0.01,0.4835,0.2328,0.5624,null
Ab:w09,104,evaluable,002,11,14.5,0.2872,1.4821,-1.36,0.9191,-1.46,0.9401,0.2872,0.956,null
Ab:w10,104,evaluable,002,12,14.1,0.4313,1.5555,0.67,0.2408,0.22,0.3876,0.3358,0.6214,null
Ab:w11,104,evaluable,002,10,13.0,0.3905,1.9788,-0.11,0.5205,-0.77,0.7682,0.3986,0.5345,null
Ab:w12,104,evaluable,001,10,11.5,0.2324,0.9383,-2.42,1.0,-2.37,0.999,0.274,0.992,null
Ab:w13,104,evaluable,001,8,11.7,0.3707,0.9712,-0.64,0.7273,-0.55,0.6833,0.3906,0.6404,null
Ab:w14,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ab:w15,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ab:w16,104,evaluable,004,6,14.5,0.6367,1.025,0.53,0.2907,0.6,0.2587,0.6367,0.4266,null
Br:w00,104,evaluable,430,7,12.75,0.4722,0.9454,-0.95,0.8222,-0.78,0.7782,0.4722,0.7882,null
Br:w01,104,evaluable,059f,7,12.45,0.2312,0.4375,-2.47,0.999,-2.64,0.999,0.2312,0.999,null
Br:w02,104,evaluable,063,6,13.95,0.5522,1.2762,-0.45,0.6633,-0.89,0.8052,0.5522,0.8132,null
Br:w03,104,evaluable,001,7,12.4,0.5456,0.4557,0.26,0.3816,0.7,0.2318,0.5676,0.1159,null
Br:w04,104,evaluable,063,19,12.05,0.2759,1.1455,-0.07,0.4985,0.08,0.4346,0.2759,0.4585,null
Br:w05,104,evaluable,063,13,13.3,0.2344,0.9515,-1.17,0.8851,-1.35,0.9141,0.2344,0.9081,null
Br:w06,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Br:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Br:w08,104,evaluable,066,7,13.15,0.4217,1.003,-0.34,0.6304,-0.75,0.7732,0.4217,0.7612,null
Br:w09,104,evaluable,066,7,13.15,0.4217,1.003,-0.4,0.6354,-0.79,0.7762,0.4217,0.7792,null
Bv:w00,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Bv:w01,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Bv:w02,104,evaluable,003,13,11.6,0.316,1.1008,-0.33,0.6134,-0.24,0.5714,0.316,0.5794,null
Bv:w03,104,evaluable,006,6,12.35,0.7682,1.1918,1.74,0.0529,1.38,0.1059,0.7682,0.1199,null
Bv:w04,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Bv:w05,104,evaluable,065,6,14.2,0.6857,0.1855,1.27,0.0989,1.59,0.0569,0.6857,0.0629,null
Bv:w06,104,evaluable,003,8,11.65,0.6029,0.519,0.0,0.4885,0.45,0.3027,0.6029,0.4216,null
Bv:w07,104,evaluable,003,6,11.55,0.6507,0.6479,0.53,0.3047,0.66,0.2607,0.6507,0.1848,null
Bv:w08,104,evaluable,004,8,13.2,0.4549,0.9565,-0.66,0.7323,-0.37,0.6184,0.4549,0.5784,null
Bv:w09,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Bv:w10,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Bv:w11,104,evaluable,004,6,11.5,0.3319,0.8081,-1.21,0.8931,-1.13,0.8731,0.3319,0.8611,null
Bv:w12,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ca:w00,104,evaluable,380,6,14.5,0.3156,1.1134,-1.8,0.981,-1.48,0.954,0.3156,0.9081,null
Ca:w01,104,evaluable,001,13,13.3,0.2561,0.8067,-2.1,0.995,-1.9,0.982,0.3055,0.9481,null
Ca:w02,104,evaluable,005,7,11.9,0.5324,1.1333,0.3,0.3536,-0.15,0.5285,0.4241,0.7632,null
Ca:w03,104,evaluable,041,7,12.15,0.7479,1.3076,1.54,0.0709,1.38,0.0949,0.7696,0.0509,null
Ca:w04,104,evaluable,711,6,12.5,0.8811,0.2347,2.22,0.018,2.46,0.011,0.8811,0.021,null
Ca:w05,104,evaluable,041,7,13.75,0.6553,0.7058,1.28,0.1059,0.75,0.2268,0.6714,0.1409,null
Ca:w06,104,evaluable,070,6,11.5,0.5497,0.6023,-0.22,0.5634,0.2,0.4096,0.5497,0.4176,null
Ca:w07,104,evaluable,006,6,12.75,0.3947,0.6664,-0.97,0.8232,-1.02,0.8432,0.3947,0.8581,null
Ca:w08,104,evaluable,003,9,14.5,0.3044,0.9954,-1.88,0.98,-2.16,0.993,0.3044,0.984,null
Cb:w00,104,evaluable,380,6,12.3,0.3586,0.2742,-1.81,0.975,-1.74,0.966,0.3586,0.968,null
Cb:w01,104,evaluable,380,10,11.75,0.2647,0.25,-1.47,0.9471,-1.04,0.8621,0.2647,0.8412,null
Cb:w02,104,evaluable,001,8,12.5,0.2804,1.0986,-1.29,0.9041,-1.32,0.9121,0.2804,0.9161,null
Cb:w03,104,evaluable,066,6,12.0,0.378,0.423,-1.54,0.9481,-1.24,0.9041,0.2784,0.983,null
Cb:w04,104,evaluable,760,6,13.9,0.3352,0.4809,-1.64,0.974,-1.47,0.9461,0.3352,0.96,null
Cb:w05,104,evaluable,003,7,14.5,0.4233,1.0904,-0.46,0.6464,-0.52,0.6673,0.4233,0.6743,null
Cb:w06,104,evaluable,002,7,12.2,0.691,0.7905,1.57,0.0669,1.47,0.0769,0.5536,0.3177,null
Cb:w07,104,evaluable,003,6,13.95,0.5394,0.7104,0.22,0.4046,-0.1,0.5435,0.5394,0.5215,null
Cb:w08,104,evaluable,003,6,13.95,0.5394,0.7104,0.19,0.4066,-0.05,0.5225,0.5394,0.5614,null
Da:w00,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Da:w01,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
